瑴	瑴玉裁成却附离
牡	牡丹风扬曲声长 牡丹天气惜芳辰 牡丹开就应难比 牡丹妖艳直千金 牡丹含露真珠颗 牡丹花重翠云偏 牡丹破萼樱桃熟 牡丹一夜经微雨 牡丹花谢莺声歇 牡丹怎得称王者
牣	牣庋充厨书满家
牦	牦牛互市番氓出
牧	牧童敲火牛砺角 牧笛声声送暮霞 牧童遥指杏花村 牧童却解忘功业 牧童避雨归来晚 牧童白牯恣优游 牧童归去横牛背 牧来纯熟水牯牛 牧守当今当好官
物	物自低昂人自便 物换星移几度秋 物物现成观自在 物是人非事事休 物表群分红日□ 物本无情人有情 物换星移知几度 物外更将和气约 物外光阴不属春 物情惟有醉中真
牯	牯牛蹶起五老峰 牯牸无瘟犊儿长 牯牸倦耕眠草下 牯岭东西谷尚在 牯牛烂欑不须绳
牲	牲玉不加随豆簠 牲肥酒香时日良 牲社家家祷岁丰 牲牢郊祀信无穷 牲酒奠祭骈群凶 牲肥酒香笾豆洁 牲不实兮酒不旨 牲肥酒香歌岁丰 牲肥酒香神未渎 牲肥酒香作秋社
特	特地趁晓作霜晴 特为重阳守服居 特地送我布帆东 特石须顽也合消 特地笼灯仔细看 特赐丝紬二百单 特地风光盈绮陌 特地愁从望里来 特会群臣开广讌
牺	牺樽自是木之灾 牺象何疑是木灾 牺尊青黄木为灾 牺樽弃沟俱害性 牺尊青黄互翻覆 牺象初心岂愿才 牺象洁新亲荐处 牺象未应殊断木
犊	犊外醉分芳草卧 犊鼻虽贫未主臣 犊车油壁尘纷纷 犊车辕许野人攀 犊儿狂走先过浦 犊牧采薪感之悲 犊车芳草南陌头 犊车缓缓随芳草 犊护草兮行复止 犊健戴星耕白水
犒	犒设妻儿聊当肉 犒军纸襖如泥钱 犒赏有酒牛羊猪 犒勤霞液出仙杯 犒师何用更投醪
犗	犗耳之谈真浪耳
犧	犧樽羊饩度姑山 犧卦箕疇汝讵知
牂	牂牁江上水如天 牂牁江绕古融城 牂牁南下水如汤 牂牁南去乱峰连 牂牁何处莫穷源 牂牁水外万竹底 牂牁相遇说长年 牂牁水阔嶲山高 牂牁水向郡前流 牂牁畏佛不敢烹
版	版筑乃是宰相事 版头疏久又还亲 版桥雨过秋苔滑 版筑纷纷成底事 版图渐入掌中收 版图何日还金刀 版图远奏尧天阔 版曹羡利巍迁秩 版舆寿母人间盛 版奏中严夜未央
牍	牍销翻比在家闲 牍尾但书臣向校 牍中灿灿蓝田玉 牍背仍题双掩并 牍背题词字斗斜 牍後落衔便手倦
牌	牌使前呼大队回 牌上却改新官名
牋	牋诉天公休掠剩 牋天公事君知否 牋供狎客为芳辞 牋天乞取自由身 牋襞毫奔光照灼 牋词上诉人叵挽
牒	牒诉纷纷皆妄语 牒书走报州与县 牒诉简省官曹清 牒诉缤纷似烟海 牒诉缤纷塞瓮天 牒纷案聚判笑走
牓	牓作玉霄君会否 牓字新题照阡陌
牖	牖下窥龙稍眩真 牖名以约孰知音 牖户绸缪实父基 牖窥已叹尚书妇 牖风庭月共希夷
敧	敧枕看书卧北窗 敧枕婆娑两鬓霜 敧枕连宵终不寐 敧帽垂鞭送客回 敧枕试寻曾游处 敧枕无眠又无寐 敧帽闲寻西瀼路
敲	敲门赊酒常酣醉 敲成玉磬穿林响 敲缺唾壶秋雨急 敲门惟有徵租吏 敲门夜半窥园李 敲门试问野人家 敲坏半边知妾卧 敲门且复寻僧话 敲竹唤龟吞玉芝 敲瓦微听冰线响
敺	敺雀敺鱼计自疏
收	收恢台之孟夏兮 收拾几成三万缗 收拾将来碓下舂 收转心猿踢气球 收灯时候却相逢 收尽微风不见江 收和颜而静志兮 收丝垂钓月明中 收拾瑶池倾国艳
改	改弓弦路劣容车 改图不害为君子 改头换面休疑著 改铸腰镰应有数 改作常为法吏绳 改元建号乱如麻 改头换面人难悟 改头换面者还来 改更句格各蹇吃 改头换面嗔复喜
攻	攻城杀将何纷纷 攻破刘郎五字城 攻馀瑟瑟风摇绿 攻城来下惜先分 攻击愁城从事里 攻破是非浑似梦 攻车战舰繁如织 攻苦食辛等醇醴 攻伊必应莫迟疑
攸	攸忽风光行老矣 攸司经始兮载严
攽	攽条下教得民和
放	放翁老去未忘情 放弃何遽愁荒遐 放出黄河到海声 放尽穷鳞看圉圉 放开晴日正宜花 放翁白首归剡曲 放歌渔父濯沧浪 放翁依旧掩柴扉 放开云月出清辉 放下许多閒苦辛
玫	玫瑰宝柱秋雁行 玫瑰出槛参差拆 玫瑰作柱朱弦琴 玫瑰倚栏笑欲语
故	故人万里关山隔 故关杨柳初飞絮 故拥绣衾遮素面 故人南北一般春 故园三度群花谢 故人才见便开眉 故教月向松江满 故国平居有所思 故山空复梦松楸
敂	敂关谒我即辞去
敖	敖岭丹成井已空 敖曹兄弟年正少 敖仓转粟走天下
敌	敌国当时指顾降 敌胜还他师子儿 敌棋另有一无根 敌棋正应莫投完 敌君王富自何来 敌胜吹毛不用磨 敌君王富乐无穷 敌军围困万千重 敌棋应错大侵分 敌国军营漂木柹
效	效得仙人夜唱经 效颦莫笑东村女 效捷灵芝愧在前 效牵酪肖渥洼马 效尤戮仆愧前史 效原清润身差健 效原处处堪行乐 效渠东野以诗鸣 效颦常锁远山愁 效原眇眇青无际
敝	敝衣粝食曾不敷 敝袍霜叶空残绿 敝帚不扫舍人门 敝裘羸马古河滨 敝衣无絮愁风劲 敝裘尘土压征鞍 敝帚其如自爱何 敝屣可同天下弃 敝尽貂裘未可寒 敝服真成原宪病
敕	敕过鸾台凤阁来 敕赐飞龙二天马 敕放还山一幅巾 敕催院使按新声 敕书来自九重天 敕赐金钱二百万 敕下传闻六国清 敕赐珊瑚白玉鞭 敕赐诸亲乞巧楼 敕赐一窠红踯躅
敢	敢言日与长安远 敢将十指夸针巧 敢告云山从此始 敢将容易论玄机 敢窃区区纳禄名 敢望君家白玉庭 敢希楚客切云冠 敢相凡夫当面隔 敢保老兄犹未彻
救	救世比来心所愿 救苦观音名利益 救世神方堪自秘 救得人间薄命花 救拔亡魂消旧业 救物功深好自持 救时应仗出群才 救荒阴德过于门 救火竭池鱼失水
敛	敛袂空趋画戟门 敛时福瑞为天赦 敛迹藏锋不自制 敛红颦翠歌金缕 敛衾默坐思往事 敛黛含颦喜又瞋 敛面似啼开似笑 敛衽千载友斯人 敛尽春山羞不语 敛非澜倒回狂手
敏	敏则有功鹰得兔 敏手重开造化门 敏手何妨误汰金 敏于一行推棋子 敏中为御史都司 敏捷诗才笑鲁皋 敏手未须施霹雳 敏捷为文笔不休 敏手何曾妨霹雳 敏则有功无滞事
敔	敔鹅飞起暮云平 敔鹅贴贴天际来 敔鹅鸿雁各求曹
敞	敞日辕门标大纛 敞辟华堂待缙绅 敞扉气爽云生栋
敬	敬亭山下百顷竹 敬外无缘复有余 敬从乘舆来此地 敬重三光须要认 敬拜神君芘吾土 敬亭寒夜溪声里 敬释尊儒行大道 敬身天不宽曾子 敬心那为慰心移 敬拓思文冠所遭
敻	敻殊延喜灵珪上
敷	敷陈尽可见臣愚 敷溪南岸掩柴荆 敷文圣代今同契 敷荣浸渍乃无穷 敷溪道上醉春风 敷床眠到日西时 敷奏柔和不伤物 敷宣朝旨达君恩 敷水条山兴已狂 敷芳成艳不关春
整	整了翠鬟匀了面 整日消闲镇来往 整整云鬟宜簇戴 整钗微见玉纤纤 整顿衣裳起敛客 整顿衣裳皆著却 整鬟凝思捧觥筹 整顿春衫欲跨鞍 整顿乾坤济时了 整整牙签饱蠹鱼
斂	斂卷惊嗟语幻咙 斂衣侧步无穷意 斂襟欲坐先发言 斂手先问诸学士 斂手忌言坐闲处 斂藏神用潜幽宫 斂在唐人四句中 斂袂亭亭天上妆 斂籍神仓符礼本
气	气寒西北何人剑 气突兀而山不移 气清夜永兮月低 气象、又重妆束 气填胸兮谁识曲 气宇棱棱吞梦泽 气爽秋高河汉阔 气和玉烛调阴阳 气调玉烛金穰应 气酣脱颖恣盘礴
氤	氤氲雾幄炉香细 氤氲三色射瑶宫 氤氲妙毓山泽姿 氤氲嘉祥凝朝曦 氤氲开阖无穷妙 氤氲偏傍玉脂温 氤氲消息拍胸襟 氤氲三色淳清素 氤氲不是梦云空 氤氲花气好风来
氣	氣壓伊吾一劍鸣
氲	氲氲颢气朝胎息 氲氲喜气随民遍
次	次第花开可自娱 次第未堪供醉眼 次第还当赤帝权 次公筵上见山公 次须察地以安民 次者亲抱汗血驹 次抟乌兔药来烹 次第梅已暗香浮 次补数中添一位 次第前村行雨了
欢	欢意似云真薄倖 欢华莫遣笙歌散 欢情犹得漏声迟 欢缘心事泪痕中 欢传崧岳挺生申 欢声和气弥寰宇 欢笑尊前月照之 欢声浮动建章宫 欢伯便同分玉髓
欧	欧阳公谱西都花 欧九登庸柳七弃 欧舞梅歌君更酌 欧尹追还六籍醇 欧冶子死千年后 欧曾不生二苏死 欧亚抟陆地天通 欧冶亲传铸剑方 欧靓腰支柳一涡 欧阳始是玉堂客
欣	欣见主人真头面 欣然鸡犬识新丰 欣欣花木递香红 欣然启户下阶行 欣逢伯氏绂麟辰 欣然领略尚何疑 欣然河伯顺风歌 欣遇月圆先两日 欣然命驾匆匆去 欣然拱眎不暇揖
欬	欬唾珠玉皆新诗 欬唾生春见能事 欬唾清圆谈者诎
欷	欷歔叹古更嗟今 欷嘘三十余年无
欲	欲归临别强迟留 欲少留此灵琐兮 欲近禁烟微雨罢 欲将遗恨倩谁传 欲寄彩笺兼尺素 欲把西湖比西子 欲过清明烟雨细 欲上高楼去避愁 欲与天公试比高 欲作家书意万重
欵	欵语春风入户庭
款	款段扬鞭过雨村 款若莺啼春昼暖 款陪仙伯燕池亭 款门不问谁家竹 款款捞来捶作片 款听琅琅终日语 款凤不来天地塞 款款春风澹澹云 款款挥来捶作片 款约朋从归去路
欺	欺他寡妇与孤儿 欺压黄花不得施 欺敌兵家无远思 欺卖宗祏倾皇灵 欺梅残雪已无痕 欺花冻草还飘然 欺压斜阳绿到根 欺他不见心先喜 欺压梅花春信早
欹	欹鬟堕髻摇双桨 欹岸侧岛秋毫末 欹眠似听朝鸡早 欹枕梦能归故隐 欹眠歇尽人间念 欹枕有时成雨梦 欹倾淡墨诗成後 欹斜古屋枕江干 欹枕欲寻初夜梦
歃	歃泉宁复似渠贪 歃血为盟不到头 歃血未乾犹窃粟 歃血谁当豫此盟
歇	歇者无心穫者力 歇马晓寻溪寺花 歇定唯谋洛下游 歇处何妨更歇些 歇此墟中白杨下 歇马独来寻故事 歇尽狂心颇自奇 歇程偏惜来时路 歇肩听说田家苦 歇著金梭思往夕
歆	歆向当年苦持难 歆艳清朝作贵官 歆然解剥出肌理
歈	歈舞难招楚客魂 歈歌折柳舞传巴
歌	歌中醉倒谁能恨 歌尽桃花扇影风 歌尽桃花扇底风 歌串如珠个个匀 歌欲颦时还浅笑 歌楼妍曲借枝名 歌声缭亮遏行云
歉	歉岁艰辛汝未知 歉岁村讴鼓罢挝 歉岁隆冬水不冰 歉岁逢秋亦喜凉
歊	歊烦一转亦何难 歊蒸庳下豪家苦
歘	歘尔翻身入云雾 歘听万树响空除 歘去骤来何草草 歘然修梁架岩起
歜	歜葅不登鼎俎列
歛	歛退故应容拙者 歛退今为省事人 歛版低心事年少 歛微成众在人力 歛付两奁来对酒 歛版扶犁味总长 歛迹已思焚笔砚 歛昏微雨泊曹娥 歛尽残云见夕阳 歛缩岂复希功名
犬	犬戎时杀少烟尘 犬牙同此作教亲 犬上阶眠知地湿 犬吠嘹嘹惊夜梦 犬吠行人槿篱罅 犬吠鸡鸣四船里 犬吠驴鸣休未休 犬羊自惯渎齐盟 犬吠鸡帝间扊扅 犬戎日夜吞西鄙
状	状同楚汉相攻战 状头浪说三千字 状若归尊趋有德 状若千灯一室明 状为祠曹默益坚 状出抱子落寒泉 状元紫诰曾相假 状如笔架翠起伏 状元笔下鼓风雷 状似千灯含一镜
猒	猒穿山径石嶔崎
献	献纳雍容定几篇 献赋十年犹未遇 献寿新词谁解道 献寿朝元欲偃戈 献花无路鸟空忙 献寿声声祝万康 献谀耐辱希阶梯 献纳司存持禁橐 献花百鸟自空忙
猷	猷禅猷禅知不知 猷公曾住天台寺
獃	獃衫应许换征衣 獃郎犹向火边栖
日	日暮乡关何处是 日月照耀金银台 日照香炉生紫烟 日日花前常病酒 日月忽其不淹兮 日暖桑麻光似泼 日出江花红胜火 日康娱而自忘兮 日高人渴漫思茶
旦	旦喜无闻过此生 旦旦池边三薰沐 旦过寮前万里身 旦上禅衣试绿罗 旦评指日腾佳誉 旦暮置规君勿怪 旦望焚香餐素膳 旦昼行为昏暮睡 旦夕思归不得归 旦欲燎衣无宿烬
旧	旧时王谢堂前燕 旧效楚人悲秋作 旧巢还有燕泥新 旧岁炊烟浑欲断 旧时茅店社林边 旧愁新恨若为情 旧日髯孙何处去 旧怨平兮新怨长 旧游如梦空肠断 旧欢前事入颦眉
旭	旭燕羁鸿共断魂 旭日不复能精明 旭报岂须穷宝箧 旭坐玉堂应记此 旭川夙擅溪壑胜 旭来也作赤松游 旭角雪峰又来迎 旭日朝来升屋角 旭旦含颦不成笑 旭日小村鸠唤妇
旬	旬日一轮怨辛苦 旬馀即报行春足 旬日轩车不降来 旬有三日方曈曨 旬奏空文惭转邮 旬休节假暂归来 旬浃望霓心肺渴 旬余不到石泉西 旬月经游殊不厌 旬一集真终日喜
早	早信此生终不遇 早是水寒无宿处 早岁那知世事艰 早有蜻蜓立上头 早知今日长相忆 早梅独占孤根暖 早茶采尽晚茶出 早去声与人同乐 早梅先绽日边枝
旨	旨留余沥酹亡胡 旨酒何曾废善言 旨饮食兮照庖厨 旨甘初荐摘青黄 旨蓄元无可御冬 旨酒嘉肴相胥燕 旨酒能尝斯醉矣 旨甘取足随丰俭 旨哉悦口众所嗜 旨趣逍遥称漫叟
旰	旰食我皇收士急 旰食延英责太平 旰宵汲汲予存念 旰食欲令天下肥 旰食忧民宴乐疏 旰食多劳念圣躬 旰食遥知渴忠谠 旰宵唯是励乾乾
旱	旱余虫镂园蔬叶 旱风虫孽久挻灾 旱天随取灌高畴 旱苗原上枯成焰 旱蝗千里秋田净 旱火不光天下雨 旱块敲牛蹄趵趵 旱风吹野未成阴 旱田气逢六月尾 旱魃徒勤城南妇
旷	旷古第成千觉梦 旷劫年光掣电中 旷大劫来植善根 旷劫清规里许圆 旷怀真与世相忘 旷劫至今无伎俩 旷谷岩前幽涧畔 旷大劫来无界至 旷怀只待秋风起 旷劫至今全体具
时	时暧暧其将罢兮 时人莫讶登科早 时看雪霰吹人面 时下凌宵百尺英 时秋华艳遍园间 时缤纷其变易兮 时不利兮骓不逝 时有飞仙暗往还 时人不识凌云木 时时盏里生红浪
旸	旸谷扶桑指顾间 旸谷先生下宴时 旸谷徐徐起六龙 旸雨无愆雩萗罕 旸谷乌升海水赤 旸春争先羯鼓敲
旴	旴江文物盛江西 旴江范子亦奇哉 旴江珍品推南丰 旴江百里清无滓
昂	昂昂雪鬓颜真卿 昂头步步金鞍稳 昂枝点破秋苔色 昂昂独负青云志 昂首风前飞不去 昂昂气象羽毛新 昂霄耸壑宁自期 昂头问客几时归 昂霄老柏孤松树 昂藏却立古衣冠
昌	昌阳初荐长生醑 昌歜随宜泛绿醽 昌唐无复浯溪颂 昌江直下水能平 昌黎世有简编孙 昌黎久原列三王 昌黎宁许到潮阳 昌荧珠网挂琼钩 昌谷空囊晚醉归 昌黎安身坡立命
昉	昉此一笑同茶瓯
昊	昊穹景命即已至 昊穹垂佑福群生 昊天罔极幽明隔 昊皇鲁叟画系传 昊穹示变盍警畏 昊楚经年杀气凝 昊天神主位中閒 昊轮出火星荧荧 昊穹殿下石为松 昊天昔道高难测
昏	昏眼犹能仔细看 昏昏起坐日方长 昏昏雪意云垂野 昏灯一点窥孤梦 昏烟湿雪暗郊墟 昏眵犹认山河影 昏昏风雨暗东湖 昏钟未动先酣枕 昏昏雪意惨云容 昏昏默默炼胎息
昆	昆明池水汉时功 昆仑山上玉楼前 昆冈片玉火中润 昆仑脱手黄金绳 昆仑抱出珊瑚树 昆吾御宿自逶迤 昆仑山上聚神仙 昆虫草木承恩国 昆见闻含山先润
旻	旻宇萧然绝一毫 旻天容我作支离 旻德一喝如雷响 旻公忧木水推去
明	明月清风忆使君 明月何时照我还 明朝紫凤朝天路 明朝万一西风动 明朝端午浴芳兰 明月不谙离恨苦
昙	昙花香暝见僧还 昙华映日千峰晓 昙阳仙子王家姑 昙华独头一枝开 昙济道人亦复往 昙花瑞现传天界 昙花时现觉园春 昙花故落御衣香 昙摩泛海路空长 昙萼翻成铁蒺藜
昔	昔人已乘黄鹤去 昔我与君始相值 昔时繁盛皆埋没 昔日龌龊不足夸 昔游如梦可销魂 昔三后之纯粹兮 昔时金阶白玉堂 昔日采花呈窈窕 昔年曾伴花前醉
昕	昕不旦出目无辉 昕陛延贤日彻曛
易	易外家风未兆时 易挑锦妇机中字 易除殆类无根潦 易俗功深神且妙 易水悲风轻按指 易经独不遭秦火 易失旧欢劳蝶梦 易水萧萧西风冷 易象先天合圣机
昇	昇平太平视松竹
旼	旼天一朝畀以祸
春	春江花朝秋月夜 春蚕到死丝方尽 春从春游夜专夜 春寒赐浴华清池 春色满园关不住 春宵苦短日高起 春风自共何人笑 春江潮水连海平 春事阑珊芳草歇 春风桃李花开日
昴	昴星人杰当王佐 昴宿腾精瑞两间 昴星下天扶汉德 昴星呈瑞夜来明 昴日三分今恰一 昴宿储精岳降神 昴星之灵其姓萧 昴星避次光低回 昴宿腾辉来瑞世 昴星光照汉酂侯
昧	昧却当阳个一著 昧了如何重显证 昧爽高声已报晨 昧爽初分天欲晓 昧爽小孙唤翁起 昧爽天兴辇路遥 昧者倣习徒艰勤 昧者劳心休恁么 昧爽氤氲神气会
昵	昵昵琵琶恩怨语 昵昵并头休巧语 昵昵私语双燕秋 昵昵灯前问鄂州 昵枕低帏销受得
是	是栖栖者蜂和蝶 是个不唧＊樵父 是非成败转头空 是殆有养致然尔 是他画手亦通神 是不费青蚨买处 是处花开晚更妍 是他自择风霜国 是处移花是处开 是处瓜华时节好
显	显权就实化众生 显发须凭过量人 显出圆通五彩珠 显发须还过量人 显庆年中越王作 显纸如何裹大虫 显道真人去不回 显谟延阁照西清 显晦逆从人莫测 显出王风九转成
星	星星鬓影今如许 星罗羽卫登乔岳 星星却入双蓬鬓 星河欲转千帆舞 星瞻南极瑞光浮 星斗昭回自一天 星闱上笏金章贵 星汉西流夜未央 星河濯月霁天寒
映	映空初作茧丝微 映水藏山片复重 映空渡水细如丝 映山黄帽螭头舫 映阶碧草自春色 映日荷花别样红 映竹幽姿深有思 映花避月上行廊 映阶笼烛画帘垂 映水酒帘斜扬日
昱	昱爚银鞍狭路逢 昱声落涧玉铮然 昱岭不高人已困
昭	昭阳殿里第一人 昭阳殿里春衣就 昭华夜醮连清曙 昭华凤管知名久 昭王白骨萦蔓草 昭阳殿里恩爱绝 昭君远嫁毡车发
昼	昼出耘田夜绩麻 昼长人困斗樗蒲 昼永暖翻红杏雨 昼得游嬉夜得眠 昼寝宫娥梦里惊 昼漏迟迟出建章 昼食忘味夜贵眠 昼暖乍喜薰风永 昼夜六时长在意
昨	昨夜秋风来万里 昨宵染就鹅黄浅 昨夜西风凋碧树 昨宵庭外悲歌发 昨夜闲潭梦落花 昨夜新阳回候馆 昨夜佳人初命偶 昨夜西池陪女伴 昨夜星辰昨夜风 昨夜渡江何处宿
晁	晁子抱材耕谷口 晁子胸中开典礼 晁氏有恩忠作祸 晁子为之梁父吟 晁家公子屡经过 晁张超然鸿鹄举 晁子迭唱亦起予 晁董千年元不死 晁郑风流俱外家
晖	晖晖晴日树头平 晖晖日傍金舆转 晖晖初日上帘勾 晖章坐阅董南书 晖晖红日上回廊 晖晖檐日暖且鲜 晖晖晚日收新稻 晖景下堕铄九冰 晖晖斜日朱栏曲 晖润登歌备四重
晋	晋唐遗迹草离离 晋宋齐梁几帝陵 晋代衣冠成古丘 晋君听琴枉清角 晋宋间人有此风 晋阳蜿蜿起飞龙 晋阳已陷休回顾 晋阳山头无箭竹 晋人风味终然别 晋祠流水如碧玉
晒	晒翅鸬鹚映日斜 晒丝院落喜新晴 晒腹曝衣传故俗 晒翅常疑白雪销 晒丝捣麦又匆匆 晒暴奄聂熏衣裳 晒在垂杨古岸边 晒蓑溪上今陈迹 晒翎斜日鸥来熟 晒茧摊丝立地乾
晓	晓镜但愁云鬓改 晓霜红叶舞归程 晓莺声断朝云去 晓日迎长岁岁同 晓妆呵尽香酥冻 晓驾炭车辗冰辙 晓庭环绕折残枝
晏	晏岁着脚来东瓯 晏子一裘何恨贫 晏婴白日为谗贼 晏下东峰绝踪迹 晏子元非枕鼓士 晏相望门兮空悲 晏球一战腥臊空 晏驾不得归秦中 晏婴长不满五尺 晏斋生理比何如
晔	晔晔寒江归钓艇 晔晔紫芝商隐皓 晔也平生漫传香 晔晔紫芝堪疗饥 晔晔盛誉嗤诸儒 晔如晴天散彩虹
時	時危身老亦悠悠
晡	晡时坚坐到黄昏 晡时捩柂离西兴 晡时风日稍凄凄 晡时饮酒醒时卯
晨	晨昏滚滚水流东 晨兴聊取经遮眼 晨起梳头雪满膺 晨起梳头拂面丝 晨炊蚤出看移秧 晨钟暮鼓无休时 晨梳脱发虽无数 晨起更知秋色好 晨兴秋色已凄凄 晨起凭栏叹衰甚
晦	晦迹韬光德自长 晦朔岂容朝菌知 晦日书来四月收 晦日忽惊雪堕空 晦迹韬光亦何意 晦翁去后道无传 晦翁入梦语蝉聊 晦庵老子修行久 晦叔坟荒草已陈 晦明隐显任浮沉
晚	晚来妆面胜荷花 晚晴台榭增明媚 晚风消得许多凉 晚日寒鸦一片愁 晚秋霜霰莫无情 晚花红片落庭莎 晚岁躬耕不怨贫 晚日青□酒易赊
晤	晤语无人与遣愁 晤到中年心更懒 晤语身方走跕鸢 晤言名理谩研穷 晤对未用嗟无侣 晤语经旬接粹和 晤语岂无黄叔度 晤言相与入圣处 晤语多应一笑频 晤言未厌已西驰
晞	晞女发兮阳之阿 晞发檐前力未衰 晞发中庭蹻足卧 晞风沐雨借光辉 晞骥长惭马不前 晞银汉之织女兮 晞颜志节亦颜同 晞发东轩未肯忙 晞发松阴藓石床 晞余发兮兰之陼
晷	晷运推移事若何 晷影推移线日长
晶	晶晶红染累垂糁 晶晶霜瓦寒生粟 晶荧独物掣长电 晶荧日月御香风 晶荧危堞玉龙蟠 晶帘一片伤心白 晶明辉映云山阁 晶帘隔破月中痕 晶荧灯焰下苍旻 晶帘卷午风另轻
景	景阳钟动才归去 景致融怡露添寒 景物便为春意候 景物不同人世界 景福照明何举措 景物欣欣乐知己 景州城外更凄然 景阳宫井又何人 景春三度将闲等 景物相看只如此
普	普光即是无师智 普贤露地空弹指 普熏三界扫腥膻 普天匝地一时明 普眼当观如□□ 普陀大士神通妙 普贤之身闲飘飘 普韵连天风月和 普贤腹裹接观音 普明照世约同参
晴	晴日催花暖欲然 晴雪半消花?? 晴川历历汉阳树 晴窗细乳戏分茶 晴雪半消花□□ 晴窗睡起炉烟直 晴日烘帘暖似春 晴空一鹤排云上 晴川祓禊归来晚
暑	暑天秋杪锦生春 暑风依旧闲庭院 暑用酒逃犹有待 暑退初亲雁足灯 暑天宁数越罗春 暑炎催夜连昏雨 暑庭消尽风鸣树 暑雨初晴昼漏迟 暑葛霜砧都历遍 暑退凉生前路活
晰	晰蜴那能擅权柄
暂	暂凭杯酒长精神 暂时流转为风光 暂烦高手活吴民 暂得尊前笑口开 暂假临淮东道主 暂教泾渭各清浑 暂解吴钩登祖宴 暂来还去不胜颦 暂别宝奁蛛网遍 暂尔勾稽淹大手
智	智者可卷愚者豪 智者无言皆口嘿 智游空劫珠胎蚌 智诣而难分是非 智者见之谓之智 智慧宜从高见识 智尊不动琉璃头 智门真得祖家风 智者无言皆口默 智＊争容蚊蚋泊
晬	晬然其色见乎外 晬日先联瑞日红 晬盘珠玉还相映 晬盘先揽文房宝 晬盘拿了太憨生
晼	晼晚千花已自稀 晼晚春归婺女城
暗	暗香疑是那人来 暗将深意祝胶弦 暗香偏向黄昏逗 暗香依旧月朦胧 暗香埋没教谁识 暗淡轻黄体性柔 暗将往事思量遍 暗付金钗清夜半
暌	暌离动作三年计 暌离已是十秋强 暌阔星霜又欲周
暖	暖日晴风初破冻 暖雨晴风初破冻 暖云如絮扑低空 暖日迟迟花袅袅 暖风鞭袖尽闲垂 暖意便从窗下见 暖发黄宫和气软 暖烘回雁起平沙 暖香惹梦鸳鸯锦
暇	暇须瘦影纤纤织 暇日联镳共暑鏖 暇日扁舟清霅上 暇日登楼到石渠 暇须半卷天香散 暇日诸贤肯过临 暇日闲来看一回 暇伴延龄千岁鹤 暇日登携多雅致 暇蟹鱼龙尽缩头
暄	暄风已惬绿阴凉 暄风吹尽北枝梅 暄凉翻手雨无踪 暄风暖景明年日 暄妍光景老海棠 暄和喜试晓衣轻 暄景半窗行野马 暄风迟日春光闹 暄风吹斋响苍玉
暘	暘谷乌飞不傍舟 暘彼诸老皆典刑 暘旱玄冥僭春令 暘虫赫赫欲流金 暘谷初开群蛰起
暧	暧暧斜阳著树明 暧空白露为清霜 暧暧人村翠树连 暧然可爱是冬曦 暧暧去尘昏灞岸 暧空降雪花零乱
暨	暨昶以义名沉浑 暨初城南韦与杜 暨州美政不三年 暨到蚁封难并鹜 暨阳城下风涛怒 暨见真龙元不识 暨州风土今非昔 暨阳幕职无他奇
暝	暝传戍鼓长云间 暝鸟高下飞追随 暝烟更界平芜断 暝暝来上珊瑚床 暝色无人独归客 暝色分烟上远峰 暝槐成幄日初长 暝烟多处是神州 暝鸦接翅啼榕树 暝云无树亦崚嶒
暮	暮雨情知更可怜 暮雨朝云几许愁 暮去朝来颜色故 暮霭沉沉楚天阔 暮秋风雨客衣寒 暮去朝来淘不住 暮云空阔不知音 暮思遶遶最伤心 暮山重叠两冥冥 暮雨不堪巫峡梦
暱	暱交戚畹绝私书
暵	暵[2]其乾矣
曏	曏者隐奥九九篇 曏为监官北如晋 曏来河洛久愆阳 曏来缨上已无尘 曏来秀孚两宗工
曈	曈曈初日照楼台 曈曈太阳如火色 曈曈日脚晓犹清 曈曈晓日上三竿 曈曈霁日上窗纱 曈曚半弄阴晴日 曈曈赫日上重檐 曈曨赫日东方来 曈昽旭日射神光 曈曈白日当南山
曚	曚曚白日穿云出
曙	曙色才分鸡便唱 曙鸦啼断景阳钟 曙后月华犹冷湿 曙色纷纷路愈赊 曙光蚀黯渐欺灯 曙光初照演兵场 曙色才分烟气消 曙色和风著花草 曙光斜汉欲参横 曙钟寥亮三四声
曒	曒日同归信誓言
曛	曛黄飞雪已填门 曛黑儿童候竹扉 曛曛晴日醉醒间
曜	曜灵西藏曲未终 曜灵睡起亦东征 曜相偏羸足力强 曜晻枫林带烟雨 曜灵西征易侵寻 曜灵西征驾新霁
簪	簪向乌云仔细看 簪冷夜龙穿碧洞 簪枍栺兮绂承光 簪花莫怪老人羞 簪缨怪我情何薄 簪花小字箧中看 簪笔致身公与侯 簪声相庆晓光中 簪金藉绮升曲筵 簪萱弄彩听孙啼
曦	曦发庭中新沐後 曦余发兮兰之渚 曦幕暖吹红皱起 曦轮猎野枯杉松 曦轮初转照仙扃 曦发阳阿遇故人 曦龙浴海上扶桑 曦御初移昼景融 曦色云庵半堵红 曦娥薄蚀耀计孛
曩	曩疑先圣啬于言 曩日见公孙未晬 曩译佳人奇遇成 曩劫缘中因种在 曩甘聪黜体还隳 曩疑先贤啬于言 曩向真州订古文 曩将奄宅证淹中 曩时对酒不敢饮 曩昔行藏已熟筹
曨	曨曨斜月悬灯纱
