瑴	瑴玉裁成却附离
兵	兵机将略总如神 兵残楚帐夜闻歌 兵后人烟绝稀少 兵厨准拟三千斛 兵厨玉帐卷酃湖 兵马渡江人走尽 兵后故人能有几 兵戈阻绝老江边 兵间脱死命如丝 兵戈啑血只空回
羌	羌管直惊猿鹤梦 羌无以异於众芳 羌灵魂之欲归兮 羌管不须吹别怨 羌管悠悠霜满地 羌笛胡笳不用吹 羌管凄凉更忍吹 羌管声声欲断肠 羌笛何须怨杨柳 羌笛一声何处曲
典	典容希阔成昭备 典刑蜀国旧风流 典衣买酒过残春 典却西湖东湖住 典籍校雠三殿外 典到琴书事可知 典衣沽酒亦足醉 典衣犹拟醉郫筒 典桑卖地纳官租 典衣取酒那论价
具	具茨山外夕阳多 具书目见非妄征 具知人眼识朱子 具叶傍行别绶经 具足凡情兼四智 具他法眼始孤高 具看经眼不难窥 具足圆方始不疑 具牛力尽殊堪闵 具唤小舟酹三谏
美	美酒一杯谁与共 美人首饰侯王印 美酒一杯花影腻 美人偏喜破朱唇 美人微笑转星眸 美人才子传芳信 美人帐下犹歌舞 美人折向庭前过
羑	羑河依旧羑城空 羑里幽人始能晓
羗	羗夷种落夸威令
羞	羞见羊裘七里滩 羞得花枝一朵无 羞逐长安社中儿 羞对双歌发彩光 羞向人前舞枯枝 羞向眼前供妩媚 羞见总龟灵且寿 羞被狂毫抹污来 羞颜未醉已先赬 羞郎何事面微红
羡	羡君平步到天涯 羡他蝴蝶宿深枝 羡他真个好因缘 羡他雪色一般同 羡君恰似老人星 羡君早觉无生法 羡君人物东西晋 羡杀渔村无畔岸 羡他沙暖鸳鸯睡 羡他白鹭凌风去
冀	冀王阴德在高门 冀州贾琮去帷裳 冀北未空千里才 冀枝叶之峻茂兮 冀延神鉴俯兰樽 冀州断道无来车 冀北当年浩莫分 冀马燕犀动地来 冀北群空看走马 冀缺非同执耒人
勺	勺合不留但糠秕 勺水便成鸾凤声 勺水果非鱣鲔地 勺陂潋滟幽修语 勺水如金汲路遥 勺泉清澈涵秋味 勺水研池圆洗胆 勺水蹄涔尽奔注 勺水线流不轻与 勺水固知焦可沃
勿	勿令万法不精专 勿笑我心孜孜化 勿谈搬运紫河车 勿生疑虑动机关 勿枉用心闲过日 勿令萦恨金刀剪 勿教妄想没刚柔 勿言圣事似寻常 勿言震兑坎和离 勿为利路乱交加
匀	匀如春涧长流水 匀匀帝泽烝民粒 匀朱傅粉初窥墙 匀粉时交合欢扇 匀洒农郊偏长麦 匀面照溪心已许 匀铺叶底森森碧 匀圆万颗争相似 匀红轻浥绛罗巾 匀红行绕大安池
包	包羞忍耻是男儿 包万像而括二仪 包茅三脊已充庭 包羞羊借皋比盖 包容大地与山河 包含万有不曾生 包含万象藏心里 包弹靡靡萧萧制 包中香黍分边角 包藏万有岂称能
匆	匆匆思作东归计 匆匆曾贮一襟香 匆匆我又成归计 匆匆归去寿琼杯 匆匆便为千里隔 匆匆又数今朝过 匆匆纵得邻香雪 匆匆春归没计遮 匆匆人去三更也
匈	匈奴慑窜穷发北 匈奴运数尽枯杨 匈奴破尽人看归 匈奴未灭敢言家 匈奴破尽看君归 匈奴未灭不言家 匈奴草黄马正肥 匈奴且莫下云中 匈奴似若知名姓
匍	匍匐膝行上下床 匍匐尚拜蚍蜉王 匍匐泥涂没其趾 匍匐归来指谩弹
匏	匏革奏冬非独乐 匏瓠放教俱上屋 匏杓调和冷暖匀 匏瓜有系身难去 匏系空驰执绋情 匏悬篱落似村居 匏悬篱落鸦窥井 匏竽聊复预齐吹 匏壶之体充甘肥 匏樽注酒就背饮
匕	匕筹谩举叨席中 匕首空磨事不成 匕筹惊投不为雷 匕箸芳香胜粱肉 匕机一失中铜柱 匕首还随督亢图 匕首咸阳策最低 匕首何曾害魏公 匕箸虀盐客味酸 匕尖已带乖龙血
北	北固江头浪拍空 北风驱雁又离行 北枝休羡南枝暖 北人浑作可花疑 北风卷地白草折 北固山前三面水 北客有来初未识 北方不可以止些 北方焰焰看来年 北枝梅蕊犯寒开
冰	冰雪肌肤不受尘 冰肌温处觅余香 冰瓷金缕胜琉璃 冰轮碾破碧棱层 冰轮驾玉上祥云 冰明玉润天然色 冰散绿池泉细细 冰生玉水云如絮 冰容玉艳不相饶 冰肌自是生来瘦
决	决定於中隐好人 决定坚心没恼愁 决江一支溉数州 决然飞背晚烟轻 决曹高卧印生绿 决云中断开青天 决决溪泉到处闻 决继海蟾的祖刘 决眦可醒千日醉
冻	冻吟谁伴捻髭须 冻云欲折寒根向 冻云隔月天模糊 冻花无多树更孤 冻痕不剥五更霜 冻死不著贱人裩 冻卧袁安已复苏 冻云著地静无风 冻逐寒梢残雪解 冻枝惊鹊语声乾
况	况乃今朝更祓除 况风浪起且须还 况复秦兵耐苦战 况肯到红尘深处 况是踏青来处远 况是焚舟决胜来 况伊销得人憔悴 况是小春天正爽 况此物不论贫富 况是双亲未老时
冷	冷落人间昼掩门 冷雁寒云渠有恨 冷云遮断山无数 冷侵窗户琴书润 冷香萦遍红桥梦 冷雨敲窗被未温 冷香邀住入衣襟 冷逼毡帷火不红 冷妆新照双桐井 冷落金屏山十二
冶	冶父山门斋粥粗 冶叶倡条俱相识 冶叶倡条遍相识 冶城迤逦过清凉 冶城飞下扬州叶 冶游音信隔章台 冶游天气冶游心 冶城夜月将军墓 冶游天气却身闲
净	净智装严功德聚 净洗砚池瀦墨渖 净地上不许狼籍 净智庄严功德聚 净揩妆脸浅匀眉 净洗甲兵长不用 净无土脉污芳鲜 净洗群生忿欲心 净而纯中无一尘 净地上谁肯狼籍
冽	冽地金风变世情
冼	冼涤要教心地静 冼净人间万斛尘
凋	凋郡共欣消沴气 凋零已到骨之余 凋疏亲故添情重 凋年怀抱独萧骚 凋绿叶兮吹白云 凋红片片已堪悲 凋丛愁见几回春 凋零坐上亲朋少 凋谢犹当易美名 凋尽朱颜白尽头
凌	凌虚风马来无迹 凌波隐称金莲步 凌余阵兮躐余行 凌波微步袜尘飞 凌云不隔三山路 凌云健笔意纵横 凌云谩道见桃花 凌波微步笑芙蓉 凌波袜小暗生尘 凌波不过横塘路
凄	凄凉又作它乡客 凄凉怀抱可怜哉 凄凉暮雨沾裀绣 凄凉猿鹤山中约 凄清激切繁空影 凄凄芳草路无泥 凄凉病榻无多语 凄凉拚作西风客 凄风休飐半残灯 凄凄不似向前声
准	准拟同醉小山重 准拟苏台烂熳游 准拟阶前摘荔枝 准拟中秋快客情 准拟开筵一万回 准拟踏青南陌路 准拟计台魁鹗表 准拟君王便看来 准拟相看似旧时 准向人间驾使騑
